id,name,score1,score2
1,student_1,97,69
2,student_2,86,99
3,student_3,53,55
4,student_4,95,61
5,student_5,62,84
6,student_6,99,56
7,student_7,80,98
8,student_8,59,54
9,student_9,54,79
10,student_10,76,59
11,student_11,95,88
12,student_12,53,82
13,student_13,91,75
14,student_14,52,86
15,student_15,80,85
16,student_16,60,85
17,student_17,79,77
18,student_18,69,74
19,student_19,82,61
20,student_20,98,100
21,student_21,71,96
22,student_22,72,72
23,student_23,94,82
24,student_24,67,84
25,student_25,70,76
26,student_26,76,58
27,student_27,64,55
28,student_28,73,92
29,student_29,70,67
30,student_30,93,68
31,student_31,74,83
32,student_32,93,65
33,student_33,57,57
34,student_34,80,79
35,student_35,94,94
36,student_36,51,76
37,student_37,78,90
38,student_38,52,82
39,student_39,77,79
40,student_40,69,86
41,student_41,50,52
42,student_42,53,95
43,student_43,73,75
44,student_44,97,81
45,student_45,53,71
46,student_46,85,55
47,student_47,56,100
48,student_48,51,56
49,student_49,72,97
50,student_50,92,57
51,student_51,61,73
52,student_52,54,64
53,student_53,78,87
54,student_54,77,88
55,student_55,73,63
56,student_56,55,77
57,student_57,65,62
58,student_58,63,88
59,student_59,63,77
60,student_60,90,87
61,student_61,80,57
62,student_62,92,92
63,student_63,93,56
64,student_64,59,77
65,student_65,90,77
66,student_66,63,50
67,student_67,70,86
68,student_68,91,89
69,student_69,94,69
70,student_70,80,99
71,student_71,71,73
72,student_72,72,64
73,student_73,70,100
74,student_74,77,85
75,student_75,90,58
76,student_76,69,60
77,student_77,95,61
78,student_78,70,72
79,student_79,66,52
80,student_80,57,50
81,student_81,56,97
82,student_82,72,91
83,student_83,75,59
84,student_84,78,83
85,student_85,81,59
86,student_86,90,79
87,student_87,50,63
88,student_88,96,61
89,student_89,64,63
90,student_90,57,90
91,student_91,54,93
92,student_92,62,50
93,student_93,81,78
94,student_94,51,84
95,student_95,77,72
96,student_96,56,88
97,student_97,88,91
98,student_98,90,85
99,student_99,61,71
100,student_100,54,82
101,student_101,79,50
102,student_102,74,94
103,student_103,57,93
104,student_104,91,95
105,student_105,94,68
106,student_106,67,73
107,student_107,72,78
108,student_108,79,88
109,student_109,78,59
110,student_110,55,68
111,student_111,84,99
112,student_112,78,74
113,student_113,80,80
114,student_114,89,88
115,student_115,79,95
116,student_116,68,86
117,student_117,81,76
118,student_118,99,98
119,student_119,97,53
120,student_120,83,50
121,student_121,63,87
122,student_122,61,50
123,student_123,69,66
124,student_124,55,54
125,student_125,59,76
126,student_126,69,85
127,student_127,96,97
128,student_128,95,96
129,student_129,65,70
130,student_130,60,69
131,student_131,72,78
